league,season,team,player,nationality,position,age,birth_year,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk
ITA-Serie A,2122,Atalanta,Francesco Rossi,ITA,GK,30,1991,1,0,37,1,2.43,2,1,50.0,0,0,0,0,,0,0,0,0
ITA-Serie A,2122,Atalanta,Juan Musso,ARG,GK,27,1994,33,33,2932,42,1.29,119,80,67.2,16,8,9,8,24.2,4,3,0,1
ITA-Serie A,2122,Atalanta,Marco Sportiello,ITA,GK,29,1992,5,5,450,5,1.0,18,13,83.3,0,3,2,2,40.0,2,2,0,0
ITA-Serie A,2122,Bologna,Francesco Bardi,ITA,GK,29,1992,2,2,177,2,1.02,9,7,77.8,1,1,0,0,0.0,0,0,0,0
ITA-Serie A,2122,Bologna,Nicola Bagnolini,ITA,GK,17,2004,1,0,3,0,0.0,1,1,100.0,0,0,0,1,,0,0,0,0
ITA-Serie A,2122,Bologna,Łukasz Skorupski,POL,GK,30,1991,36,36,3240,53,1.47,174,122,74.1,11,9,16,12,33.3,9,8,1,0
ITA-Serie A,2122,Cagliari,Alessio Cragno,ITA,GK,27,1994,35,35,3150,63,1.8,168,104,66.1,6,10,19,2,5.7,8,6,2,0
ITA-Serie A,2122,Cagliari,Boris Radunović,SRB,GK,25,1996,3,3,270,5,1.67,17,11,76.5,0,2,1,1,33.3,2,1,1,0
ITA-Serie A,2122,Empoli,Guglielmo Vicario,ITA,GK,24,1996,38,38,3420,70,1.84,216,150,69.9,10,11,17,7,18.4,10,5,2,3
ITA-Serie A,2122,Fiorentina,Bartłomiej Drągowski,POL,GK,23,1997,7,7,556,8,1.29,26,17,73.1,3,0,4,2,28.6,2,1,1,0
ITA-Serie A,2122,Fiorentina,Pietro Terracciano,ITA,GK,31,1990,32,31,2862,43,1.35,100,58,59.0,16,5,10,9,29.0,3,2,1,0
ITA-Serie A,2122,Genoa,Adrian Šemper,CRO,GK,23,1998,1,1,90,1,1.0,4,3,75.0,0,0,1,0,0.0,0,0,0,0
ITA-Serie A,2122,Genoa,Salvatore Sirigu,ITA,GK,34,1987,37,37,3330,59,1.59,180,122,69.4,4,16,17,10,27.0,5,4,1,0
ITA-Serie A,2122,Hellas Verona,Alessandro Berardi,ITA,GK,30,1991,1,1,90,3,3.0,7,4,57.1,0,1,0,0,0.0,0,0,0,0
ITA-Serie A,2122,Hellas Verona,Ivor Pandur,CRO,GK,21,2000,3,3,270,6,2.0,15,9,66.7,1,0,2,0,0.0,1,1,0,0
ITA-Serie A,2122,Hellas Verona,Lorenzo Montipò,ITA,GK,25,1996,34,34,3060,50,1.47,137,88,65.0,13,10,11,4,11.8,3,2,1,0
ITA-Serie A,2122,Inter,Ionuț Radu,ROU,GK,24,1997,1,1,90,2,2.0,3,1,33.3,0,0,1,0,0.0,0,0,0,0
ITA-Serie A,2122,Inter,Samir Handanović,SVN,GK,37,1984,37,37,3330,30,0.81,124,95,79.0,25,9,3,15,40.5,4,4,0,0
ITA-Serie A,2122,Juventus,Carlo Pinsoglio,ITA,GK,31,1990,1,0,45,1,2.0,2,1,100.0,0,0,0,0,,1,1,0,0
ITA-Serie A,2122,Juventus,Mattia Perin,ITA,GK,28,1992,5,5,405,7,1.56,16,10,56.3,2,1,2,1,20.0,0,0,0,0
ITA-Serie A,2122,Juventus,Wojciech Szczęsny,POL,GK,31,1990,33,33,2970,29,0.88,105,73,75.2,18,9,6,12,36.4,6,3,3,0
ITA-Serie A,2122,Lazio,Pepe Reina,ESP,GK,38,1982,15,15,1350,29,1.93,60,31,58.3,6,4,5,2,13.3,5,4,0,1
ITA-Serie A,2122,Lazio,Thomas Strakosha,ALB,GK,26,1995,23,23,2070,29,1.26,86,58,67.4,12,6,5,7,30.4,1,1,0,0
ITA-Serie A,2122,Milan,Ciprian Tătărușanu,ROU,GK,35,1986,6,6,540,10,1.67,24,14,66.7,4,1,1,1,16.7,3,2,1,0
ITA-Serie A,2122,Milan,Mike Maignan,FRA,GK,26,1995,32,32,2880,21,0.66,101,81,81.2,22,7,3,17,53.1,2,2,0,0
ITA-Serie A,2122,Napoli,Alex Meret,ITA,GK,24,1997,7,7,619,6,0.87,29,23,79.3,5,1,1,2,28.6,0,0,0,0
ITA-Serie A,2122,Napoli,David Ospina,COL,GK,32,1988,31,31,2790,25,0.81,106,82,77.4,19,6,6,13,41.9,1,1,0,0
ITA-Serie A,2122,Napoli,Davide Marfella,ITA,GK,21,1999,1,0,11,0,0.0,1,1,100.0,0,0,0,1,,0,0,0,0
ITA-Serie A,2122,Roma,Rui Patrício,POR,GK,33,1988,38,38,3420,43,1.13,146,104,74.0,18,9,11,15,39.5,6,5,1,0
ITA-Serie A,2122,Salernitana,Luigi Sepe,ITA,GK,30,1991,16,16,1392,24,1.55,78,54,73.1,4,8,4,1,6.3,3,3,0,0
ITA-Serie A,2122,Salernitana,Vid Belec,SVN,GK,31,1990,23,21,1938,49,2.28,135,87,65.9,3,2,16,1,4.8,5,3,1,1
ITA-Serie A,2122,Salernitana,Vincenzo Fiorillo,ITA,GK,31,1990,1,1,90,5,5.0,8,3,37.5,0,0,1,0,0.0,0,0,0,0
ITA-Serie A,2122,Sampdoria,Emil Audero,IDN,GK,24,1997,29,29,2560,48,1.69,130,82,63.8,8,5,16,5,17.2,2,1,1,0
ITA-Serie A,2122,Sampdoria,Nicola Ravaglia,ITA,GK,32,1988,1,0,5,1,18.0,1,0,100.0,0,0,0,0,,1,1,0,0
ITA-Serie A,2122,Sampdoria,Wladimiro Falcone,ITA,GK,26,1995,10,9,855,14,1.47,54,41,75.9,2,1,6,2,22.2,1,1,0,0
ITA-Serie A,2122,Sassuolo,Andrea Consigli,ITA,GK,34,1987,37,37,3322,63,1.71,171,108,67.8,13,11,13,3,8.1,9,8,1,0
ITA-Serie A,2122,Sassuolo,Giacomo Satalino,ITA,GK,22,1999,1,0,8,0,0.0,1,1,100.0,0,0,0,0,,0,0,0,0
ITA-Serie A,2122,Sassuolo,Gianluca Pegolo,ITA,GK,40,1981,1,1,90,3,3.0,5,2,40.0,0,0,1,0,0.0,0,0,0,0
ITA-Serie A,2122,Spezia,Ivan Provedel,ITA,GK,27,1994,31,31,2761,52,1.7,165,116,73.9,9,5,17,7,22.6,11,9,0,2
ITA-Serie A,2122,Spezia,Jeroen Zoet,NED,GK,30,1991,7,7,630,19,2.71,43,23,58.1,1,1,5,0,0.0,2,1,1,0
ITA-Serie A,2122,Spezia,Petar Zovko,BIH,GK,19,2002,1,0,29,0,0.0,0,0,,0,0,0,0,,0,0,0,0
ITA-Serie A,2122,Torino,Etrit Berisha,ALB,GK,32,1989,10,10,900,8,0.8,41,32,85.4,3,4,3,4,40.0,3,2,1,0
ITA-Serie A,2122,Torino,Luca Gemello,ITA,GK,21,2000,1,1,90,0,0.0,3,3,100.0,1,0,0,1,100.0,0,0,0,0
ITA-Serie A,2122,Torino,Vanja Milinković-Savić,SRB,GK,24,1997,27,27,2430,33,1.22,80,46,67.5,9,7,11,4,14.8,8,7,1,0
ITA-Serie A,2122,Udinese,Daniele Padelli,ITA,GK,35,1985,3,3,270,8,2.67,21,13,61.9,1,0,2,1,33.3,0,0,0,0
ITA-Serie A,2122,Udinese,Marco Silvestri,ITA,GK,30,1991,35,35,3150,50,1.43,141,92,68.1,10,14,11,7,20.0,7,5,0,2
ITA-Serie A,2122,Venezia,Luca Lezzerini,ITA,GK,26,1995,6,6,495,9,1.64,39,30,76.9,2,1,3,0,0.0,0,0,0,0
ITA-Serie A,2122,Venezia,Niki Mäenpää,FIN,GK,36,1985,17,16,1485,27,1.64,84,57,73.8,1,4,11,1,6.3,6,5,0,1
ITA-Serie A,2122,Venezia,Sergio Romero,ARG,GK,34,1987,16,16,1440,33,2.06,105,74,74.3,3,4,9,3,18.8,6,6,0,0
ITA-Serie A,2223,Atalanta,Francesco Rossi,ITA,GK,31,1991,1,0,4,0,0.0,0,0,,0,0,0,0,,0,0,0,0
ITA-Serie A,2223,Atalanta,Juan Musso,ARG,GK,28,1994,24,24,2077,27,1.17,89,64,71.9,13,4,7,7,29.2,2,2,0,0
ITA-Serie A,2223,Atalanta,Marco Sportiello,ITA,GK,30,1992,15,14,1339,21,1.41,64,43,68.8,6,3,5,2,14.3,1,1,0,0
ITA-Serie A,2223,Bologna,Francesco Bardi,ITA,GK,30,1992,1,1,90,0,0.0,4,4,100.0,1,0,0,1,100.0,0,0,0,0
ITA-Serie A,2223,Bologna,Łukasz Skorupski,POL,GK,31,1991,37,37,3330,49,1.32,161,113,73.9,13,12,12,7,18.9,9,7,2,0
ITA-Serie A,2223,Cremonese,Ionuț Radu,ROU,GK,25,1997,9,9,810,19,2.11,64,45,75.0,0,3,6,1,11.1,3,3,0,0
ITA-Serie A,2223,Cremonese,Marco Carnesecchi,ITA,GK,22,2000,27,27,2430,47,1.74,153,107,70.6,4,9,14,4,14.8,2,2,0,0
ITA-Serie A,2223,Cremonese,Mouhamadou Sarr,SEN,GK,25,1997,2,2,180,3,1.5,8,5,62.5,1,0,1,1,50.0,0,0,0,0
ITA-Serie A,2223,Empoli,Guglielmo Vicario,ITA,GK,25,1996,31,31,2783,39,1.26,134,95,73.9,9,12,10,7,22.6,6,4,1,1
ITA-Serie A,2223,Empoli,Samir Ujkani,KVX,GK,34,1988,1,0,7,1,12.86,1,0,0.0,0,0,0,0,,0,0,0,0
ITA-Serie A,2223,Empoli,Samuele Perisan,ITA,GK,24,1997,7,7,630,9,1.29,24,15,62.5,1,1,5,2,28.6,0,0,0,0
ITA-Serie A,2223,Fiorentina,Michele Cerofolini,ITA,GK,23,1999,5,5,450,3,0.6,11,8,81.8,4,1,0,2,40.0,1,1,0,0
ITA-Serie A,2223,Fiorentina,Pierluigi Gollini,ITA,GK,27,1995,3,3,270,2,0.67,8,6,75.0,1,2,0,2,66.7,0,0,0,0
ITA-Serie A,2223,Fiorentina,Pietro Terracciano,ITA,GK,32,1990,29,29,2610,38,1.31,96,59,66.7,9,8,12,5,17.2,7,6,1,0
ITA-Serie A,2223,Fiorentina,Salvatore Sirigu,ITA,GK,35,1987,1,1,90,0,0.0,5,5,100.0,1,0,0,1,100.0,0,0,0,0
ITA-Serie A,2223,Hellas Verona,Lorenzo Montipò,ITA,GK,26,1996,37,37,3330,59,1.59,181,124,68.0,7,9,21,5,13.5,2,1,1,0
ITA-Serie A,2223,Hellas Verona,Simone Perilli,ITA,GK,27,1995,1,1,90,0,0.0,4,4,100.0,0,1,0,1,100.0,0,0,0,0
ITA-Serie A,2223,Inter,Alex Cordaz,ITA,GK,39,1983,1,0,26,0,0.0,2,2,100.0,0,0,0,1,,0,0,0,0
ITA-Serie A,2223,Inter,André Onana,CMR,GK,26,1996,24,24,2160,24,1.0,83,61,73.5,14,3,7,8,33.3,2,2,0,0
ITA-Serie A,2223,Inter,Samir Handanović,SVN,GK,38,1984,14,14,1234,18,1.31,52,35,67.3,9,0,5,4,28.6,1,1,0,0
ITA-Serie A,2223,Juventus,Mattia Perin,ITA,GK,29,1992,11,10,948,7,0.66,40,32,85.0,5,3,2,6,60.0,2,1,1,0
ITA-Serie A,2223,Juventus,Wojciech Szczęsny,POL,GK,32,1990,28,28,2472,26,0.95,93,67,75.3,17,3,8,14,50.0,3,3,0,0
ITA-Serie A,2223,Lazio,Ivan Provedel,ITA,GK,28,1994,38,37,3413,30,0.79,128,99,77.3,21,8,8,21,56.8,2,1,0,1
ITA-Serie A,2223,Lazio,Luís Maximiano,POR,GK,23,1999,1,1,5,,,,,,1,,,,,,,,
ITA-Serie A,2223,Lecce,Wladimiro Falcone,ITA,GK,27,1995,38,38,3420,46,1.21,156,112,73.7,8,12,18,6,15.8,6,5,1,0
ITA-Serie A,2223,Milan,Antonio Mirante,ITA,GK,39,1983,1,0,2,0,0.0,0,0,,0,0,0,0,,0,0,0,0
ITA-Serie A,2223,Milan,Ciprian Tătărușanu,ROU,GK,36,1986,16,16,1440,22,1.37,61,40,67.2,9,3,4,4,25.0,2,2,0,0
ITA-Serie A,2223,Milan,Mike Maignan,FRA,GK,27,1995,22,22,1978,21,0.96,62,40,69.4,11,7,4,8,36.4,3,2,1,0
ITA-Serie A,2223,Monza,Alessio Cragno,ITA,GK,28,1994,1,1,90,3,3.0,5,2,40.0,0,0,1,0,0.0,0,0,0,0
ITA-Serie A,2223,Monza,Michele Di Gregorio,ITA,GK,25,1997,37,37,3330,49,1.32,167,119,72.5,14,10,13,10,27.0,3,3,0,0
ITA-Serie A,2223,Napoli,Alex Meret,ITA,GK,25,1997,34,34,3060,24,0.71,91,66,74.7,26,5,3,16,47.1,2,1,1,0
ITA-Serie A,2223,Napoli,Pierluigi Gollini,ITA,GK,27,1995,4,4,360,4,1.0,16,12,75.0,2,1,1,2,50.0,0,0,0,0
ITA-Serie A,2223,Roma,Mile Svilar,SRB,GK,22,1999,3,3,270,3,1.0,10,7,70.0,1,1,1,1,33.3,0,0,0,0
ITA-Serie A,2223,Roma,Rui Patrício,POR,GK,34,1988,35,35,3150,35,1.0,108,73,69.4,17,8,10,13,37.1,3,2,1,0
ITA-Serie A,2223,Salernitana,Guillermo Ochoa,MEX,GK,37,1985,20,20,1800,33,1.65,105,71,71.4,4,10,6,4,20.0,4,3,1,0
ITA-Serie A,2223,Salernitana,Luigi Sepe,ITA,GK,31,1991,17,17,1530,27,1.59,87,57,73.6,4,5,8,3,17.6,7,4,3,0
ITA-Serie A,2223,Salernitana,Vincenzo Fiorillo,ITA,GK,32,1990,1,1,90,2,2.0,4,2,50.0,1,0,0,0,0.0,0,0,0,0
ITA-Serie A,2223,Sampdoria,Emil Audero,IDN,GK,25,1997,25,25,2250,39,1.56,121,82,71.9,2,6,17,4,16.0,7,5,2,0
ITA-Serie A,2223,Sampdoria,Martin Turk,SVN,GK,18,2003,4,4,360,9,2.25,30,21,73.3,1,1,2,0,0.0,2,1,0,1
ITA-Serie A,2223,Sampdoria,Nicola Ravaglia,ITA,GK,33,1988,9,9,810,23,2.56,64,41,67.2,0,3,6,0,0.0,2,2,0,0
ITA-Serie A,2223,Sassuolo,Alessandro Russo,ITA,GK,21,2001,1,1,90,3,3.0,7,4,57.1,0,0,1,0,0.0,0,0,0,0
ITA-Serie A,2223,Sassuolo,Andrea Consigli,ITA,GK,35,1987,35,35,3150,55,1.57,117,64,55.6,12,8,15,9,25.7,3,3,0,0
ITA-Serie A,2223,Sassuolo,Gianluca Pegolo,ITA,GK,41,1981,2,2,180,3,1.5,6,3,66.7,0,1,1,0,0.0,1,1,0,0
ITA-Serie A,2223,Spezia,Bartłomiej Drągowski,POL,GK,24,1997,34,34,2946,54,1.65,164,112,69.5,6,10,18,6,17.6,6,4,1,1
ITA-Serie A,2223,Spezia,Federico Marchetti,ITA,GK,39,1983,1,0,66,2,2.73,3,1,33.3,0,0,0,0,,0,0,0,0
ITA-Serie A,2223,Spezia,Jeroen Zoet,NED,GK,31,1991,5,4,334,4,1.08,13,9,76.9,0,3,1,0,0.0,1,1,0,0
ITA-Serie A,2223,Spezia,Petar Zovko,BIH,GK,20,2002,1,0,74,2,2.43,3,1,33.3,0,0,0,0,,0,0,0,0
ITA-Serie A,2223,Torino,Vanja Milinković-Savić,SRB,GK,25,1997,38,38,3420,41,1.08,136,95,73.5,14,11,13,11,28.9,6,5,0,1
ITA-Serie A,2223,Udinese,Marco Silvestri,ITA,GK,31,1991,38,38,3420,48,1.26,137,91,69.3,11,13,14,10,26.3,7,6,0,1
ITA-Serie A,2324,Atalanta,Francesco Rossi,ITA,GK,32,1991,1,0,5,0,0.0,1,1,100.0,0,0,0,1,,0,0,0,0
ITA-Serie A,2324,Atalanta,Juan Musso,ARG,GK,29,1994,11,11,990,12,1.09,34,23,70.6,6,1,4,6,54.5,2,2,0,0
ITA-Serie A,2324,Atalanta,Marco Carnesecchi,ITA,GK,23,2000,27,27,2425,30,1.11,107,75,75.7,15,5,7,8,29.6,7,4,2,1
ITA-Serie A,2324,Bologna,Federico Ravaglia,ITA,GK,23,1999,6,6,535,3,0.5,18,13,83.3,4,1,1,4,66.7,1,0,1,0
ITA-Serie A,2324,Bologna,Nicola Bagnolini,ITA,GK,19,2004,1,0,5,0,0.0,1,1,100.0,0,0,0,0,,0,0,0,0
ITA-Serie A,2324,Bologna,Łukasz Skorupski,POL,GK,32,1991,32,32,2880,29,0.91,106,77,75.5,14,13,5,13,40.6,6,3,1,2
ITA-Serie A,2324,Cagliari,Boris Radunović,SRB,GK,27,1996,7,7,630,12,1.71,27,16,55.6,0,2,5,2,28.6,1,0,0,1
ITA-Serie A,2324,Cagliari,Simone Aresti,ITA,GK,37,1986,1,0,1,1,90.0,1,0,100.0,0,0,0,0,,1,1,0,0
ITA-Serie A,2324,Cagliari,Simone Scuffet,ITA,GK,27,1996,31,31,2789,55,1.77,129,76,59.7,8,10,13,3,9.7,3,3,0,0
ITA-Serie A,2324,Empoli,Elia Caprile,ITA,GK,21,2001,23,23,2070,27,1.17,106,78,78.3,6,6,11,5,21.7,5,4,1,0
